# sensor:magnetometer
# Requested Sample Rate: 25 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
11:51:25:807,-23.73,6.17,-46.38,52.47
11:51:25:847,-23.67,6.59,-45.81,51.98
11:51:25:887,-23.95,5.86,-46.04,52.23
11:51:25:927,-24.13,5.87,-45.77,52.08
11:51:25:967,-24.06,6.23,-45.40,51.75
11:51:26:007,-24.17,5.83,-45.54,51.89
11:51:26:047,-23.88,5.76,-45.70,51.88
11:51:26:087,-23.81,6.22,-46.14,52.30
11:51:26:127,-23.75,6.06,-45.90,52.03
11:51:26:167,-23.99,6.21,-46.04,52.29
11:51:26:207,-23.69,6.05,-45.74,51.86
11:51:26:247,-24.05,6.09,-46.07,52.32
11:51:26:287,-23.81,6.31,-45.93,52.12
11:51:26:327,-23.84,5.62,-45.82,51.96
11:51:26:367,-23.31,6.38,-45.71,51.71
11:51:26:407,-23.50,6.21,-46.38,52.37
11:51:26:447,-23.67,5.84,-46.03,52.09
11:51:26:487,-23.39,5.95,-45.69,51.67
11:51:26:527,-23.53,6.26,-45.97,52.02
11:51:26:567,-24.07,5.36,-46.03,52.22
11:51:26:607,-23.55,5.58,-45.96,51.94
11:51:26:647,-23.55,5.80,-45.71,51.75
11:51:26:687,-23.77,5.76,-45.95,52.05
11:51:26:727,-23.75,6.15,-45.51,51.70
11:51:26:767,-23.38,6.01,-45.73,51.70
11:51:26:807,-23.92,6.01,-45.30,51.58
11:51:26:847,-23.74,5.83,-45.53,51.68
11:51:26:887,-23.69,6.15,-45.76,51.90
11:51:26:927,-24.07,5.81,-46.09,52.32
11:51:26:967,-23.77,6.01,-45.92,52.05
11:51:27:007,-24.01,6.05,-45.66,51.95
11:51:27:047,-23.97,6.22,-45.31,51.64
11:51:27:087,-23.78,5.86,-46.02,52.13
11:51:27:127,-23.85,5.89,-45.87,52.04
11:51:27:167,-23.62,6.37,-45.82,51.94
11:51:27:207,-23.52,6.43,-45.95,52.02
11:51:27:247,-23.51,6.00,-45.63,51.68
11:51:27:287,-23.86,5.87,-45.73,51.91
11:51:27:327,-24.00,5.69,-45.99,52.19
11:51:27:367,-23.66,6.25,-45.90,52.01
11:51:27:407,-23.36,5.88,-45.40,51.39
11:51:27:447,-23.68,5.81,-46.27,52.31
11:51:27:487,-23.61,5.93,-46.10,52.13
11:51:27:527,-23.78,6.03,-46.01,52.14
11:51:27:567,-23.99,5.81,-45.73,51.96
11:51:27:607,-23.73,6.20,-46.45,52.52
11:51:27:647,-24.07,5.98,-45.69,51.99
11:51:27:687,-23.77,5.92,-45.79,51.93
11:51:27:727,-23.88,6.15,-45.71,51.94
11:51:27:767,-23.70,6.21,-46.19,52.29
11:51:27:807,-23.53,6.21,-46.02,52.06
11:51:27:847,-23.47,6.15,-45.29,51.38
11:51:27:887,-23.61,5.92,-45.49,51.59
11:51:27:927,-23.64,5.80,-45.82,51.89
11:51:27:967,-23.25,6.27,-45.44,51.43
11:51:28:007,-23.99,5.76,-45.60,51.85
11:51:28:047,-23.95,5.90,-45.84,52.05
11:51:28:087,-23.95,5.89,-45.77,52.00
11:51:28:127,-23.90,6.12,-45.68,51.91
11:51:28:167,-23.53,6.21,-46.08,52.11
11:51:28:207,-23.66,6.20,-45.54,51.69
11:51:28:247,-23.55,6.23,-45.15,51.30
11:51:28:287,-23.66,5.95,-46.06,52.12
11:51:28:327,-23.74,6.16,-45.95,52.08
11:51:28:367,-23.48,6.12,-45.70,51.75
11:51:28:407,-23.55,6.34,-45.52,51.64
11:51:28:447,-23.51,6.23,-45.73,51.79
11:51:28:487,-23.35,6.12,-46.10,52.04
11:51:28:527,-23.78,6.59,-46.15,52.33
11:51:28:567,-23.72,5.87,-45.55,51.69
11:51:28:607,-24.00,6.09,-45.48,51.78
11:51:28:647,-23.72,6.05,-45.40,51.57
11:51:28:687,-23.50,6.39,-45.47,51.58
11:51:28:727,-23.61,5.93,-45.84,51.90
11:51:28:767,-23.77,5.92,-46.10,52.21
11:51:28:807,-23.34,6.04,-45.75,51.71
11:51:28:847,-23.80,5.78,-45.90,52.02
11:51:28:887,-23.67,6.04,-45.99,52.08
11:51:28:927,-23.75,6.38,-45.90,52.07
11:51:28:967,-23.89,6.01,-46.20,52.36
11:51:29:007,-23.66,5.71,-45.81,51.87
11:51:29:047,-23.92,5.78,-46.38,52.51
11:51:29:087,-24.02,6.01,-46.15,52.38
11:51:29:127,-23.31,5.75,-46.31,52.17
11:51:29:167,-23.62,5.65,-45.96,51.98
11:51:29:207,-23.67,6.06,-45.37,51.53
11:51:29:247,-23.50,6.04,-45.74,51.77
11:51:29:287,-23.85,5.83,-45.71,51.89
11:51:29:327,-23.64,6.08,-45.79,51.89
11:51:29:367,-23.88,5.84,-45.73,51.91
