# sensor:magnetometer
# Requested Sample Rate: 50 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
12:01:07:560,-23.25,5.93,-45.71,51.63
12:01:07:580,-22.95,6.22,-46.24,51.99
12:01:07:600,-23.68,6.61,-46.12,52.26
12:01:07:620,-23.59,6.27,-45.27,51.44
12:01:07:640,-23.31,6.45,-46.43,52.36
12:01:07:660,-23.53,6.08,-46.13,52.14
12:01:07:680,-23.81,6.14,-45.91,52.08
12:01:07:700,-23.42,6.36,-46.45,52.40
12:01:07:720,-23.36,5.73,-45.71,51.66
12:01:07:740,-23.61,6.17,-45.38,51.53
12:01:07:760,-23.62,6.25,-46.13,52.20
12:01:07:780,-23.62,6.25,-46.02,52.10
12:01:07:800,-23.42,6.01,-45.07,51.15
12:01:07:820,-23.34,6.10,-46.02,51.96
12:01:07:840,-23.36,5.73,-45.82,51.75
12:01:07:860,-23.42,6.10,-45.49,51.53
12:01:07:880,-23.17,6.95,-45.47,51.50
12:01:07:900,-23.79,6.33,-45.59,51.81
12:01:07:920,-23.74,5.78,-45.71,51.83
12:01:07:940,-23.72,6.06,-45.70,51.84
12:01:07:960,-24.11,6.20,-46.12,52.40
12:01:07:980,-23.63,7.26,-46.09,52.30
12:01:08:000,-23.56,6.91,-45.68,51.86
12:01:08:020,-23.13,6.31,-46.02,51.89
12:01:08:040,-23.39,6.64,-46.01,52.03
12:01:08:060,-23.61,6.34,-46.02,52.11
12:01:08:080,-23.55,5.98,-46.35,52.33
12:01:08:100,-23.17,5.93,-46.24,52.06
12:01:08:120,-23.40,6.55,-45.80,51.85
12:01:08:140,-23.40,6.55,-46.01,52.03
12:01:08:160,-23.53,6.16,-46.13,52.15
12:01:08:180,-22.61,6.82,-45.80,51.53
12:01:08:200,-23.61,6.34,-45.91,52.01
12:01:08:220,-23.35,6.00,-46.03,51.96
12:01:08:240,-23.03,6.48,-46.65,52.43
12:01:08:260,-23.27,5.65,-45.62,51.52
12:01:08:280,-23.16,5.93,-45.92,51.77
