# sensor:magnetometer
# Requested Sample Rate: 80 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
12:09:13:735,-23.33,4.83,-44.99,50.91
12:09:13:755,-23.68,5.08,-44.68,50.82
12:09:13:765,-23.67,5.26,-44.88,51.01
12:09:13:775,-23.02,5.14,-45.31,51.08
12:09:13:785,-23.39,5.28,-45.20,51.17
12:09:13:805,-23.22,4.94,-44.90,50.78
12:09:13:815,-24.07,5.12,-45.09,51.37
12:09:13:825,-23.17,5.49,-44.98,50.89
12:09:13:835,-23.48,5.36,-45.52,51.50
12:09:13:855,-23.72,4.62,-44.58,50.71
12:09:13:865,-24.18,4.84,-44.88,51.21
12:09:13:875,-23.63,4.62,-44.90,50.95
12:09:13:885,-23.02,5.14,-45.31,51.08
12:09:13:905,-23.41,5.00,-45.20,51.15
12:09:13:915,-23.17,5.59,-44.87,50.81
12:09:13:925,-23.79,4.97,-45.10,51.23
12:09:13:935,-23.39,5.37,-45.41,51.36
12:09:13:955,-23.27,5.58,-44.87,50.85
12:09:13:965,-23.78,5.16,-44.77,50.96
12:09:13:975,-23.12,5.12,-45.31,51.13
12:09:13:985,-23.56,5.54,-45.08,51.16
12:09:14:005,-23.44,4.82,-45.53,51.43
12:09:14:015,-23.01,5.32,-45.63,51.38
12:09:14:025,-23.51,4.92,-44.88,50.91
12:09:14:035,-23.42,4.73,-45.10,51.04
12:09:14:055,-23.61,4.89,-45.10,51.14
12:09:14:065,-23.50,4.83,-44.36,50.43
12:09:14:075,-23.68,5.26,-45.09,51.20
12:09:14:085,-23.46,5.47,-45.09,51.12
12:09:14:105,-23.42,4.92,-45.31,51.24
12:09:14:115,-23.61,4.98,-45.42,51.43
12:09:14:125,-23.52,4.81,-45.42,51.38
12:09:14:135,-23.75,5.51,-45.30,51.45
12:09:14:155,-23.63,4.53,-44.90,50.94
12:09:14:165,-23.69,4.98,-45.10,51.19
12:09:14:175,-23.28,5.48,-45.19,51.13
12:09:14:185,-23.39,5.45,-45.84,51.75
12:09:14:205,-23.18,5.49,-45.41,51.28
12:09:14:215,-23.80,4.87,-45.20,51.32
12:09:14:225,-23.19,5.14,-44.68,50.60
12:09:14:235,-23.18,5.40,-44.98,50.89
12:09:14:255,-24.12,4.56,-45.10,51.35
12:09:14:265,-24.09,4.84,-45.31,51.55
12:09:14:275,-23.61,5.06,-45.74,51.72
12:09:14:285,-23.58,5.27,-45.09,51.16
12:09:14:305,-23.00,5.32,-45.31,51.09
12:09:14:315,-23.81,4.78,-45.31,51.41
12:09:14:325,-23.63,4.54,-44.80,50.85
12:09:14:335,-23.53,4.79,-45.85,51.76
12:09:14:355,-23.59,5.34,-45.84,51.83
12:09:14:365,-23.59,5.00,-44.68,50.77
12:09:14:375,-23.47,5.28,-44.66,50.73
12:09:14:385,-23.25,4.83,-45.96,51.73
12:09:14:405,-23.09,5.49,-45.52,51.34
12:09:14:415,-23.56,5.45,-44.98,51.07
12:09:14:425,-23.88,5.06,-44.66,50.90
12:09:14:435,-23.38,5.47,-45.09,51.08
12:09:14:455,-23.84,5.53,-44.65,50.92
12:09:14:465,-23.75,5.34,-44.87,51.05
12:09:14:475,-23.20,5.47,-46.04,51.85
12:09:14:485,-23.58,5.27,-45.09,51.16
