# sensor:magnetometer
# Requested Sample Rate: 15 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
11:46:58:082,-24.30,6.34,-46.88,53.19
11:46:58:122,-24.14,6.56,-46.79,53.06
11:46:58:202,-24.11,6.61,-46.37,52.68
11:46:58:282,-24.09,6.30,-46.04,52.35
11:46:58:322,-24.30,6.56,-46.69,53.04
11:46:58:402,-24.13,5.92,-46.15,52.42
11:46:58:482,-24.22,6.28,-46.36,52.68
11:46:58:522,-23.69,6.99,-46.98,53.08
11:46:58:602,-24.62,6.14,-45.99,52.53
11:46:58:682,-24.23,6.64,-46.65,52.99
11:46:58:722,-24.02,6.83,-46.51,52.79
11:46:58:802,-24.17,6.39,-46.24,52.56
11:46:58:882,-24.69,5.77,-46.35,52.83
11:46:58:922,-23.88,6.33,-46.13,52.33
11:46:59:002,-24.19,6.53,-46.03,52.41
11:46:59:082,-24.11,6.28,-46.21,52.50
11:46:59:122,-24.05,6.94,-46.43,52.75
11:46:59:202,-24.12,6.27,-46.38,52.66
11:46:59:282,-24.38,6.34,-46.37,52.77
11:46:59:322,-24.20,6.69,-46.21,52.60
11:46:59:402,-24.11,6.64,-46.70,52.97
11:46:59:482,-24.27,6.33,-46.18,52.55
11:46:59:522,-24.33,6.14,-46.45,52.79
11:46:59:602,-24.38,6.20,-46.26,52.66
11:46:59:682,-24.25,6.38,-46.37,52.72
11:46:59:722,-24.22,6.60,-46.29,52.65
11:46:59:802,-24.20,6.16,-46.25,52.56
11:46:59:882,-24.16,6.33,-46.23,52.54
11:46:59:922,-24.12,6.26,-46.09,52.40
11:47:00:002,-24.53,6.09,-45.90,52.40
11:47:00:082,-24.14,6.60,-46.10,52.46
11:47:00:122,-24.02,6.37,-46.57,52.78
11:47:00:202,-24.38,6.19,-45.98,52.41
11:47:00:282,-24.17,6.34,-46.13,52.46
11:47:00:322,-24.27,6.40,-46.81,53.11
11:47:00:402,-24.08,6.77,-46.34,52.66
11:47:00:482,-24.09,6.77,-46.31,52.64
11:47:00:522,-23.96,6.77,-46.10,52.40
11:47:00:602,-24.66,6.28,-45.92,52.50
11:47:00:682,-24.60,6.40,-46.90,53.34
11:47:00:762,-24.12,6.69,-46.24,52.58
11:47:00:802,-23.96,6.54,-46.38,52.62
11:47:00:882,-24.02,6.56,-46.54,52.79
11:47:00:922,-23.96,6.92,-46.29,52.58
11:47:01:002,-24.13,6.53,-46.16,52.50
11:47:01:082,-24.31,6.75,-46.45,52.86
11:47:01:122,-24.23,5.95,-46.32,52.62
11:47:01:202,-24.14,6.28,-46.32,52.61
11:47:01:282,-24.00,6.12,-45.93,52.18
11:47:01:322,-23.79,6.48,-46.95,53.03
11:47:01:402,-24.11,6.10,-46.13,52.40
11:47:01:482,-23.96,6.33,-46.07,52.31
11:47:01:522,-24.44,6.39,-46.51,52.92
11:47:01:602,-24.16,6.12,-46.40,52.67
11:47:01:682,-23.95,6.44,-46.07,52.32
11:47:01:722,-23.89,6.67,-46.07,52.32
11:47:01:802,-24.34,6.49,-46.48,52.87
11:47:01:882,-24.14,6.25,-46.21,52.51
11:47:01:962,-24.40,6.03,-46.02,52.43
11:47:02:002,-23.91,6.48,-46.85,53.00
11:47:02:082,-24.42,6.27,-46.13,52.57
11:47:02:122,-24.28,6.30,-46.70,53.01
