# sensor:magnetometer
# Requested Sample Rate: 100 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
12:06:23:816,-23.89,5.05,-45.20,51.37
12:06:23:826,-23.28,5.48,-45.41,51.32
12:06:23:836,-23.40,5.10,-44.99,50.97
12:06:23:846,-24.19,4.66,-44.68,51.02
12:06:23:856,-24.09,4.76,-44.99,51.26
12:06:23:866,-23.40,5.10,-44.88,50.87
12:06:23:876,-23.40,5.10,-44.88,50.87
12:06:23:886,-23.99,5.04,-45.31,51.51
12:06:23:896,-24.01,4.84,-45.53,51.70
12:06:23:906,-23.78,5.16,-44.88,51.05
12:06:23:916,-23.72,4.88,-45.63,51.65
12:06:23:926,-23.23,5.03,-45.53,51.36
12:06:23:936,-22.88,5.88,-45.71,51.45
12:06:23:946,-23.34,5.75,-44.97,50.99
12:06:23:956,-23.07,5.59,-45.08,50.95
12:06:23:966,-22.74,6.34,-45.70,51.44
12:06:23:976,-23.16,5.77,-45.19,51.10
12:06:23:986,-22.96,5.97,-45.49,51.31
12:06:23:996,-23.16,5.67,-44.98,50.91
12:06:24:006,-24.11,4.49,-44.58,50.88
12:06:24:016,-23.62,4.71,-45.01,51.04
12:06:24:026,-23.51,5.09,-45.42,51.40
12:06:24:036,-23.59,4.99,-44.79,50.87
12:06:24:046,-24.27,5.01,-45.09,51.45
12:06:24:056,-23.90,4.78,-44.68,50.89
12:06:24:066,-23.46,5.55,-45.08,51.12
12:06:24:076,-23.58,5.17,-44.98,51.05
12:06:24:086,-23.67,5.26,-44.98,51.10
12:06:24:096,-23.35,5.58,-44.76,50.79
12:06:24:106,-23.41,4.83,-44.79,50.77
12:06:24:116,-23.70,4.88,-45.10,51.19
12:06:24:126,-23.45,5.56,-44.55,50.65
12:06:24:136,-23.89,5.14,-45.30,51.47
12:06:24:146,-23.56,5.37,-44.55,50.68
12:06:24:156,-24.07,5.21,-45.20,51.47
12:06:24:166,-23.89,5.05,-45.09,51.28
12:06:24:176,-24.08,4.76,-44.57,50.88
12:06:24:186,-23.80,4.71,-44.36,50.56
12:06:24:196,-23.59,4.90,-44.79,50.86
12:06:24:206,-23.64,5.45,-44.44,50.64
12:06:24:216,-23.62,4.81,-45.21,51.24
12:06:24:226,-23.92,4.67,-45.32,51.46
12:06:24:236,-23.50,5.01,-44.57,50.63
12:06:24:246,-23.90,4.87,-45.20,51.36
12:06:24:256,-23.36,5.48,-44.98,50.98
12:06:24:266,-23.97,5.12,-45.30,51.51
12:06:24:276,-23.46,5.64,-45.40,51.41
12:06:24:286,-24.08,4.94,-44.77,51.08
12:06:24:296,-23.79,4.89,-44.47,50.67
12:06:24:306,-23.51,4.90,-44.99,51.00
12:06:24:316,-23.50,5.00,-44.79,50.82
12:06:24:326,-23.27,5.56,-45.30,51.23
12:06:24:336,-24.06,5.22,-44.98,51.28
12:06:24:346,-23.46,5.47,-45.09,51.12
12:06:24:356,-23.85,5.33,-44.87,51.10
12:06:24:366,-23.80,4.95,-45.63,51.70
12:06:24:376,-23.46,5.47,-44.98,51.03
12:06:24:386,-23.79,5.15,-45.41,51.52
12:06:24:396,-23.01,5.23,-45.09,50.89
12:06:24:406,-23.70,4.79,-44.90,51.00
12:06:24:416,-23.68,4.99,-44.36,50.53
12:06:24:426,-23.86,5.50,-45.62,51.77
12:06:24:436,-23.84,5.51,-44.76,51.01
12:06:24:446,-23.58,5.27,-45.09,51.16
12:06:24:456,-23.79,4.98,-44.88,51.04
12:06:24:466,-23.63,5.89,-45.49,51.60
12:06:24:476,-23.27,5.58,-45.08,51.03
12:06:24:486,-23.51,4.92,-44.79,50.82
12:06:24:497,-23.39,5.28,-45.41,51.35
12:06:24:506,-23.85,5.34,-44.55,50.82
12:06:24:516,-24.19,4.83,-45.20,51.50
12:06:24:526,-24.00,4.86,-45.20,51.41
12:06:24:536,-23.59,6.19,-44.96,51.15
12:06:24:546,-24.02,4.40,-44.48,50.74
12:06:24:556,-23.80,4.88,-44.88,51.04
12:06:24:566,-23.52,4.73,-44.79,50.81
12:06:24:576,-23.18,5.31,-44.77,50.70
12:06:24:586,-23.81,4.53,-44.26,50.46
12:06:24:596,-23.86,5.23,-44.98,51.19
12:06:24:606,-24.14,5.39,-44.98,51.34
12:06:24:616,-23.74,4.51,-45.32,51.36
12:06:24:626,-23.41,4.84,-44.47,50.49
12:06:24:636,-23.68,5.25,-45.41,51.48
12:06:24:646,-23.80,4.88,-44.88,51.04
12:06:24:656,-23.90,4.87,-44.99,51.18
12:06:24:666,-23.99,4.95,-45.09,51.31
12:06:24:676,-23.58,5.09,-44.88,50.96
12:06:24:686,-23.28,5.31,-44.57,50.56
12:06:24:696,-23.35,5.75,-45.29,51.28
12:06:24:706,-23.58,5.00,-44.36,50.49
12:06:24:716,-24.19,4.83,-45.10,51.41
12:06:24:726,-23.59,5.08,-45.31,51.34
12:06:24:736,-23.99,4.95,-44.99,51.23
12:06:24:746,-23.34,5.75,-44.97,50.99
12:06:24:756,-23.36,4.21,-44.38,50.33
12:06:24:766,-23.70,4.81,-44.57,50.71
12:06:24:776,-23.66,5.53,-45.30,51.40
12:06:24:786,-23.90,4.77,-44.99,51.17
12:06:24:796,-23.58,5.17,-45.20,51.24
12:06:24:806,-24.38,5.00,-45.20,51.60
12:06:24:816,-23.42,4.92,-45.31,51.24
12:06:24:826,-23.22,5.03,-45.10,50.98
12:06:24:836,-23.41,6.28,-45.48,51.54
12:06:24:846,-23.48,5.18,-44.99,51.02
12:06:24:856,-23.42,4.92,-45.31,51.24
12:06:24:866,-23.73,4.78,-45.74,51.75
12:06:24:876,-24.12,5.67,-44.97,51.34
12:06:24:886,-24.27,4.93,-44.68,51.08
12:06:24:896,-22.88,5.61,-45.19,50.96
12:06:24:906,-23.25,5.84,-45.29,51.24
12:06:24:916,-23.74,5.54,-44.55,50.79
12:06:24:926,-23.58,4.92,-44.25,50.38
12:06:24:936,-23.29,5.29,-45.09,51.03
12:06:24:946,-24.28,4.83,-44.68,51.08
12:06:24:956,-24.00,4.68,-44.68,50.93
12:06:24:966,-23.58,5.27,-45.09,51.16
12:06:24:976,-23.61,4.90,-44.88,50.95
12:06:24:986,-23.58,5.17,-45.09,51.15
12:06:24:996,-23.86,5.25,-44.66,50.91
12:06:25:006,-23.79,5.14,-45.63,51.71
12:06:25:017,-23.79,4.98,-44.88,51.04
12:06:25:026,-24.35,5.10,-44.55,51.03
12:06:25:036,-23.48,5.27,-45.41,51.39
